iter	F1	Logloss
665	0.5080488482	0.4438858659
666	0.5081876214	0.4438312047
667	0.5083746576	0.4437848599
668	0.5084263819	0.4437650294
669	0.5084263819	0.4436789065
670	0.5089938655	0.4435497949
671	0.5091677931	0.4434752371
672	0.5089270237	0.4434238704
673	0.5091690644	0.4433638143
674	0.5089282618	0.4432894522
675	0.5089282618	0.4432890758
676	0.5095673877	0.4432291844
677	0.509859643	0.4431762353
678	0.510014554	0.4431385474
679	0.5102210519	0.4430612592
680	0.5105985037	0.4430059695
681	0.5107370463	0.442952127
682	0.5104614106	0.4429218036
683	0.5104260478	0.4428633452
684	0.5105277739	0.4427915433
685	0.5104246034	0.4427276341
686	0.5106161893	0.442643412
687	0.5107709358	0.4425368472
688	0.5110110803	0.4424885443
689	0.5113703229	0.4423869602
690	0.5108740823	0.4423211081
691	0.5108740823	0.4422830122
692	0.5112011357	0.4422144788
693	0.511131886	0.442174787
694	0.5112334268	0.4421503972
695	0.5114765449	0.4420802417
696	0.5114234284	0.4420509069
697	0.5116134169	0.44196486
698	0.5117856772	0.4419328771
699	0.5119080587	0.4418552731
700	0.5117873092	0.4417775861
701	0.5117873092	0.4417411204
702	0.5117374143	0.4416776615
703	0.5121301263	0.4415429654
704	0.5119401952	0.4415227271
705	0.5118549029	0.4413952809
706	0.51206258	0.4413704587
707	0.5121301263	0.4413085699
708	0.5124744801	0.4412011244
709	0.5125454231	0.4411108216
710	0.512476207	0.4410171279
711	0.5125436866	0.4409326506
712	0.5124424601	0.4408909489
713	0.5126128932	0.440830683
714	0.5127140633	0.4407821966
715	0.512870191	0.4407344419
716	0.5131273998	0.4407247901
717	0.5132975964	0.4406623862
718	0.5132320891	0.4406071973
719	0.5132835201	0.4405393948
720	0.5134714488	0.4404767325
721	0.5140723325	0.4403703863
722	0.5139537296	0.4403217652
723	0.5139023378	0.4403146778
724	0.5140565026	0.4402079547
725	0.5143449706	0.4401496296
726	0.5145365921	0.4400791328
727	0.5145879425	0.4399586926
728	0.5147063906	0.4399095745
729	0.5148268473	0.4398645729
730	0.5148111023	0.439760231
731	0.5148802323	0.4397202711
732	0.5149137663	0.4396531761
733	0.5149472957	0.4396309121
734	0.5152687578	0.4395436749
735	0.5154069366	0.4395108186
736	0.5154183501	0.43945785
737	0.5156924352	0.4393655898
738	0.5162047423	0.439264401
739	0.5164118317	0.4392298256
740	0.516209218	0.4391457351
741	0.5161913968	0.4391374498
742	0.5164163646	0.4391191226
743	0.5164341942	0.4390002991
744	0.5169307238	0.4389135783
745	0.5168151371	0.4388607923
746	0.517004454	0.4388060535
747	0.5170735076	0.4387771961
748	0.5175877662	0.4386495771
749	0.517930487	0.4385712739
750	0.5179920649	0.438517961
751	0.5181633146	0.4384739284
752	0.5183831137	0.4384237693
753	0.5183677693	0.43839058
754	0.5185210733	0.4383479222
755	0.5185364003	0.4383328591
756	0.5187407331	0.438284089
757	0.5188071022	0.4382306696
758	0.5189118367	0.4381820236
759	0.5188607682	0.4381227158
760	0.5188607682	0.4380439728
761	0.5191008137	0.4380094885
762	0.5192566286	0.4378856444
763	0.5196041243	0.437785241
764	0.5201020619	0.4376869989
765	0.5201530876	0.4376853099
